	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
446	0.00007	0.00021	0.00013	0.00280	0.00787	0.00485	-0.13872	0.01423	0.03369	0.00895	-0.00407	0.00443	0.00081	0.00054	0.00301	-0.00044	0.00005	0.00050	-0.00117	0.00300	0.00352	-0.00322	0.00184	0.00608	-0.00042	-0.00169	0.00000	-0.00596	0.00181	-0.00368	0.03949	0.02216	-0.01937	0.00257	-0.00524	-0.00177	-0.00008	-0.00123	0.00022	-0.00008	-0.00123	0.00022	-0.00001	-0.00000	0.00000	0.08761	-0.02281	0.01090	-0.00597	0.00147	0.00124	-0.00078	0.00102	-0.00170	-0.00078	0.00102	-0.00170	-0.00000	0.00001	-0.00001	-0.03282	0.07531	0.33373
447	0.00005	0.00023	-0.00002	0.00210	0.00944	-0.00184	-0.09845	-0.00285	0.04402	0.00919	-0.00091	0.00389	0.00199	-0.00064	0.00302	-0.00036	-0.00033	0.00102	-0.00038	0.00043	0.00483	-0.00394	0.00328	0.00614	-0.00096	-0.00112	0.00009	-0.00486	0.00215	-0.00154	0.01731	0.02164	-0.01452	0.00145	-0.00376	-0.00126	0.00021	-0.00064	0.00038	0.00021	-0.00064	0.00038	0.00000	-0.00000	0.00000	0.07961	-0.02272	0.01871	-0.00864	0.00057	0.00203	-0.00076	0.00113	-0.00059	-0.00076	0.00113	-0.00059	-0.00000	0.00002	-0.00000	-0.04284	-0.08533	0.40171
448	-0.00002	0.00014	-0.00008	-0.00109	0.00632	-0.00417	-0.05589	0.01541	0.05440	0.00884	0.00201	0.00380	0.00309	-0.00096	0.00359	-0.00011	-0.00049	0.00122	-0.00066	-0.00126	0.00499	-0.00482	0.00432	0.00446	-0.00151	0.00024	0.00032	-0.00353	-0.00030	0.00249	-0.00484	0.02117	-0.00525	0.00162	-0.00214	-0.00040	0.00037	-0.00021	0.00053	0.00037	-0.00021	0.00053	0.00000	0.00000	0.00000	0.08014	-0.02392	0.02188	-0.01043	-0.00000	0.00227	-0.00037	0.00060	0.00051	-0.00037	0.00060	0.00051	-0.00000	0.00001	0.00000	-0.02329	-0.09950	0.50623
449	-0.00006	0.00004	-0.00012	-0.00266	0.00240	-0.00538	-0.03567	0.04964	0.07392	0.00875	0.00245	0.00435	0.00305	-0.00025	0.00426	0.00031	-0.00030	0.00111	-0.00170	-0.00224	0.00557	-0.00545	0.00478	0.00360	-0.00145	0.00115	0.00049	-0.00344	-0.00424	0.00548	-0.00706	0.01093	0.00339	0.00189	0.00007	0.00023	0.00013	0.00009	0.00038	0.00013	0.00009	0.00038	0.00000	0.00000	0.00000	0.08962	-0.03159	0.01356	-0.01139	0.00180	0.00167	0.00046	-0.00034	0.00088	0.00046	-0.00034	0.00088	-0.00001	-0.00000	0.00000	0.03096	-0.07055	0.60668
450	-0.00005	0.00000	-0.00015	-0.00192	0.00116	-0.00662	-0.03553	0.06121	0.09351	0.00913	0.00093	0.00476	0.00208	0.00038	0.00423	0.00071	-0.00005	0.00099	-0.00279	-0.00212	0.00620	-0.00574	0.00395	0.00487	-0.00065	0.00086	0.00075	-0.00375	-0.00757	0.00488	0.00808	-0.00207	0.00511	0.00132	0.00208	0.00014	-0.00021	0.00010	-0.00007	-0.00021	0.00010	-0.00007	-0.00000	0.00001	0.00000	0.09383	-0.03564	-0.00190	-0.01138	0.00448	0.00027	0.00125	-0.00097	0.00036	0.00125	-0.00097	0.00036	-0.00001	-0.00001	0.00000	0.08400	-0.17162	0.64264
451	-0.00001	0.00003	-0.00010	-0.00019	0.00163	-0.00447	-0.03913	0.03884	0.09962	0.00930	-0.00107	0.00449	0.00107	0.00011	0.00349	0.00101	-0.00004	0.00117	-0.00344	-0.00015	0.00559	-0.00592	0.00207	0.00708	0.00028	-0.00007	0.00126	-0.00279	-0.00877	0.00225	0.02375	-0.00282	-0.00040	0.00012	0.00258	-0.00040	-0.00030	-0.00041	-0.00044	-0.00030	-0.00041	-0.00044	-0.00001	0.00001	-0.00000	0.08525	-0.02913	-0.01177	-0.01012	0.00512	-0.00098	0.00130	-0.00075	-0.00044	0.00130	-0.00075	-0.00044	-0.00001	-0.00001	-0.00000	0.11041	-0.38655	0.62969
452	0.00004	0.00001	0.00006	0.00152	0.00002	0.00249	-0.04197	0.00917	0.10058	0.00880	-0.00346	0.00447	0.00052	-0.00053	0.00353	0.00119	-0.00024	0.00150	-0.00345	0.00286	0.00410	-0.00625	0.00084	0.00843	0.00038	-0.00056	0.00190	-0.00105	-0.00759	0.00182	0.02961	0.01331	-0.00627	-0.00067	0.00110	-0.00056	-0.00023	-0.00102	-0.00049	-0.00023	-0.00102	-0.00049	-0.00001	0.00000	-0.00000	0.07286	-0.02005	-0.00712	-0.00814	0.00316	-0.00084	0.00049	0.00007	-0.00068	0.00049	0.00007	-0.00068	-0.00000	0.00000	-0.00000	0.10833	-0.49973	0.65555
453	0.00006	-0.00007	0.00021	0.00269	-0.00410	0.00947	-0.05497	0.00546	0.11485	0.00816	-0.00674	0.00583	0.00043	-0.00053	0.00555	0.00117	-0.00047	0.00149	-0.00279	0.00432	0.00375	-0.00656	0.00158	0.00846	-0.00075	-0.00029	0.00242	-0.00048	-0.00523	0.00426	0.02816	0.03244	-0.00440	-0.00018	-0.00119	0.00025	-0.00030	-0.00107	-0.00032	-0.00030	-0.00107	-0.00032	-0.00001	-0.00000	-0.00000	0.06807	-0.01617	0.00587	-0.00658	0.00032	0.00032	-0.00047	0.00081	-0.00031	-0.00047	0.00081	-0.00031	0.00001	0.00001	-0.00000	0.08412	-0.40622	0.74595
454	0.00006	-0.00011	0.00023	0.00243	-0.00600	0.01080	-0.08054	0.03989	0.14660	0.00792	-0.00944	0.00773	0.00099	0.00022	0.00824	0.00091	-0.00060	0.00087	-0.00180	0.00264	0.00556	-0.00636	0.00356	0.00795	-0.00219	0.00022	0.00266	-0.00066	-0.00431	0.00594	0.02642	0.03478	0.00682	0.00072	-0.00227	0.00185	-0.00041	-0.00050	-0.00012	-0.00041	-0.00050	-0.00012	-0.00001	-0.00001	-0.00000	0.07070	-0.01462	0.01182	-0.00581	-0.00116	0.00077	-0.00096	0.00095	0.00004	-0.00096	0.00095	0.00004	0.00001	0.00001	0.00000	0.04954	-0.25244	0.83004
455	0.00001	-0.00004	0.00015	0.00020	-0.00254	0.00675	-0.10060	0.09747	0.18104	0.00798	-0.00903	0.00818	0.00243	0.00100	0.00910	0.00048	-0.00060	-0.00004	-0.00146	-0.00033	0.00803	-0.00562	0.00504	0.00712	-0.00270	0.00061	0.00246	0.00052	-0.00610	0.00460	0.02679	0.01559	0.01923	0.00003	-0.00143	0.00332	-0.00027	0.00015	0.00018	-0.00027	0.00015	0.00018	-0.00000	-0.00001	0.00000	0.07248	-0.01530	0.00571	-0.00523	0.00039	0.00030	-0.00119	0.00046	0.00001	-0.00119	0.00046	0.00001	0.00001	0.00000	0.00000	0.02593	-0.18748	0.85171
456	-0.00006	0.00005	0.00006	-0.00281	0.00186	0.00246	-0.09729	0.14009	0.19570	0.00825	-0.00535	0.00683	0.00413	0.00121	0.00756	0.00010	-0.00051	-0.00060	-0.00271	-0.00103	0.00870	-0.00514	0.00535	0.00536	-0.00215	0.00112	0.00168	0.00278	-0.00794	0.00201	0.02502	-0.00852	0.02193	-0.00238	-0.00015	0.00359	0.00004	0.00045	0.00075	0.00004	0.00045	0.00075	0.00000	-0.00001	0.00000	0.06899	-0.02502	0.00022	-0.00446	0.00436	0.00079	-0.00156	-0.00012	-0.00016	-0.00156	-0.00012	-0.00016	0.00000	-0.00001	-0.00000	0.04130	-0.18818	0.83268
457	-0.00009	0.00001	0.00004	-0.00431	0.00047	0.00181	-0.07827	0.12573	0.17895	0.00863	-0.00108	0.00518	0.00484	0.00095	0.00531	0.00002	-0.00036	-0.00043	-0.00500	0.00161	0.00672	-0.00561	0.00476	0.00308	-0.00119	0.00180	0.00064	0.00396	-0.00673	0.00114	0.01663	-0.01593	0.01322	-0.00404	0.00032	0.00245	0.00016	0.00040	0.00139	0.00016	0.00040	0.00139	0.00001	-0.00001	0.00000	0.06480	-0.04155	0.00972	-0.00452	0.00744	0.00332	-0.00196	-0.00031	-0.00022	-0.00196	-0.00031	-0.00022	0.00001	-0.00001	-0.00000	0.09846	-0.20208	0.81615
458	-0.00006	-0.00012	0.00007	-0.00268	-0.00536	0.00386	-0.07235	0.05089	0.14276	0.00883	0.00128	0.00436	0.00420	0.00062	0.00393	0.00030	-0.00019	0.00017	-0.00604	0.00486	0.00352	-0.00684	0.00369	0.00219	-0.00041	0.00210	0.00005	0.00345	-0.00354	0.00301	0.00376	-0.00143	0.00245	-0.00301	0.00069	0.00080	-0.00008	0.00018	0.00156	-0.00008	0.00018	0.00156	0.00000	-0.00001	0.00000	0.06618	-0.05066	0.03116	-0.00640	0.00723	0.00634	-0.00188	-0.00020	-0.00005	-0.00188	-0.00020	-0.00005	0.00000	-0.00001	0.00000	0.12768	-0.25580	0.81092
459	0.00003	-0.00015	0.00010	0.00144	-0.00696	0.00503	-0.08990	-0.02804	0.11457	0.00890	0.00154	0.00429	0.00316	0.00062	0.00349	0.00068	-0.00002	0.00055	-0.00426	0.00547	0.00145	-0.00801	0.00290	0.00357	-0.00047	0.00154	0.00035	0.00190	-0.00135	0.00604	-0.00942	0.02061	-0.00171	0.00020	0.00154	-0.00031	-0.00039	-0.00012	0.00101	-0.00039	-0.00012	0.00101	-0.00001	-0.00001	0.00000	0.06811	-0.04276	0.04593	-0.00874	0.00449	0.00729	-0.00106	-0.00020	0.00034	-0.00106	-0.00020	0.00034	0.00000	-0.00001	0.00000	0.02603	-0.34182	0.80582
460	0.00010	-0.00000	0.00009	0.00468	-0.00088	0.00371	-0.09473	-0.04781	0.11860	0.00921	0.00119	0.00438	0.00285	0.00120	0.00330	0.00096	0.00026	0.00047	-0.00075	0.00306	0.00154	-0.00865	0.00300	0.00573	-0.00157	0.00053	0.00119	-0.00087	-0.00015	0.00778	-0.02335	0.03255	0.00224	0.00399	0.00189	-0.00046	-0.00048	-0.00055	0.00009	-0.00048	-0.00055	0.00009	-0.00001	-0.00000	0.00000	0.05903	-0.02412	0.03836	-0.00897	0.00132	0.00507	0.00019	-0.00035	0.00084	0.00019	-0.00035	0.00084	-0.00000	-0.00000	0.00000	-0.21115	-0.36204	0.79934
461	0.00009	0.00015	0.00005	0.00387	0.00572	0.00128	-0.05059	-0.01077	0.16173	0.00939	0.00158	0.00433	0.00346	0.00220	0.00313	0.00118	0.00067	0.00026	0.00199	0.00008	0.00271	-0.00923	0.00377	0.00671	-0.00271	-0.00015	0.00153	-0.00444	0.00106	0.00764	-0.03698	0.02906	0.01273	0.00679	0.00119	0.00046	-0.00022	-0.00114	-0.00066	-0.00022	-0.00114	-0.00066	-0.00001	0.00001	-0.00000	0.04408	-0.01086	0.01256	-0.00713	-0.00046	0.00114	0.00128	-0.00057	0.00138	0.00128	-0.00057	0.00138	-0.00001	-0.00000	0.00000	-0.45033	-0.27778	0.80828
462	0.00000	0.00013	-0.00001	-0.00002	0.00538	-0.00099	0.01036	0.03098	0.22174	0.00896	0.00229	0.00418	0.00428	0.00282	0.00316	0.00146	0.00097	0.00040	0.00218	-0.00054	0.00365	-0.01014	0.00496	0.00587	-0.00281	-0.00007	0.00056	-0.00660	0.00087	0.00700	-0.04121	0.01567	0.02393	0.00685	0.00023	0.00196	0.00023	-0.00148	-0.00085	0.00023	-0.00148	-0.00085	-0.00001	0.00002	-0.00000	0.04394	-0.01363	-0.00819	-0.00600	-0.00025	-0.00133	0.00162	-0.00076	0.00195	0.00162	-0.00076	0.00195	-0.00001	-0.00000	0.00001	-0.55656	-0.19009	0.85401
463	-0.00007	-0.00001	-0.00007	-0.00335	0.00010	-0.00318	0.01870	0.04992	0.25352	0.00843	0.00187	0.00403	0.00467	0.00232	0.00338	0.00178	0.00084	0.00094	-0.00087	0.00256	0.00423	-0.01050	0.00625	0.00399	-0.00220	0.00041	-0.00105	-0.00606	-0.00175	0.00629	-0.02833	-0.00308	0.02569	0.00312	0.00012	0.00275	0.00058	-0.00102	-0.00051	0.00058	-0.00102	-0.00051	0.00000	0.00001	-0.00000	0.06427	-0.02654	-0.00465	-0.00731	0.00048	-0.00051	0.00101	-0.00066	0.00219	0.00101	-0.00066	0.00219	-0.00001	-0.00000	0.00001	-0.51847	-0.17909	0.93407
464	-0.00011	-0.00012	-0.00011	-0.00463	-0.00396	-0.00447	-0.04025	0.05776	0.23093	0.00852	0.00013	0.00401	0.00461	0.00088	0.00369	0.00197	0.00027	0.00136	-0.00659	0.00814	0.00478	-0.00896	0.00631	0.00266	-0.00180	0.00059	-0.00151	-0.00423	-0.00499	0.00466	-0.00475	-0.02450	0.01575	-0.00253	0.00123	0.00209	0.00073	0.00001	-0.00002	0.00073	0.00001	-0.00002	0.00001	0.00001	-0.00000	0.08886	-0.03264	0.01665	-0.01014	-0.00060	0.00188	-0.00011	-0.00015	0.00174	-0.00011	-0.00015	0.00174	-0.00000	-0.00000	0.00001	-0.43868	-0.17702	1.01621
465	-0.00011	-0.00016	-0.00008	-0.00476	-0.00608	-0.00257	-0.11547	0.06595	0.17963	0.00882	-0.00138	0.00429	0.00450	-0.00047	0.00430	0.00186	-0.00043	0.00116	-0.01227	0.01275	0.00509	-0.00581	0.00420	0.00292	-0.00167	0.00044	0.00001	-0.00360	-0.00613	0.00246	0.01200	-0.04212	0.00393	-0.00576	0.00310	0.00059	0.00075	0.00066	0.00023	0.00075	0.00066	0.00023	0.00002	-0.00000	0.00000	0.10477	-0.02456	0.03309	-0.01279	-0.00343	0.00287	-0.00100	0.00039	0.00085	-0.00100	0.00039	0.00085	0.00000	0.00000	0.00000	-0.44059	-0.08243	1.06248
466	-0.00009	-0.00021	0.00004	-0.00410	-0.00890	0.00292	-0.15465	0.07526	0.14713	0.00842	-0.00119	0.00482	0.00470	-0.00085	0.00531	0.00140	-0.00084	0.00053	-0.01432	0.01322	0.00526	-0.00269	0.00158	0.00404	-0.00160	0.00038	0.00228	-0.00467	-0.00384	0.00092	0.00978	-0.05114	-0.00121	-0.00372	0.00499	-0.00098	0.00060	0.00045	0.00024	0.00060	0.00045	0.00024	0.00001	-0.00000	0.00000	0.11115	-0.01315	0.03430	-0.01453	-0.00517	0.00210	-0.00131	0.00050	0.00015	-0.00131	0.00050	0.00015	0.00000	0.00000	0.00000	-0.54237	0.06580	1.05243
467	-0.00005	-0.00025	0.00016	-0.00225	-0.01128	0.00844	-0.14183	0.08737	0.14813	0.00729	0.00085	0.00516	0.00521	-0.00027	0.00607	0.00078	-0.00077	0.00017	-0.01149	0.00945	0.00606	-0.00111	0.00115	0.00436	-0.00182	0.00057	0.00336	-0.00448	-0.00017	0.00049	-0.00665	-0.05310	-0.00253	0.00175	0.00640	-0.00258	0.00010	-0.00003	0.00019	0.00010	-0.00003	0.00019	0.00000	-0.00000	0.00000	0.10768	-0.01214	0.03048	-0.01546	-0.00386	0.00178	-0.00146	0.00009	0.00008	-0.00146	0.00009	0.00008	-0.00000	-0.00000	0.00000	-0.62713	0.10053	0.99114
468	0.00001	-0.00023	0.00020	0.00045	-0.01058	0.00971	-0.09696	0.09503	0.16005	0.00634	0.00386	0.00495	0.00589	0.00042	0.00588	0.00043	-0.00046	0.00042	-0.00558	0.00429	0.00773	-0.00184	0.00367	0.00354	-0.00227	0.00088	0.00250	-0.00104	0.00121	0.00141	-0.02135	-0.05037	-0.00972	0.00574	0.00672	-0.00446	-0.00059	-0.00000	0.00023	-0.00059	-0.00000	0.00023	-0.00001	-0.00001	0.00000	0.09856	-0.02383	0.03271	-0.01585	-0.00079	0.00315	-0.00193	-0.00049	0.00065	-0.00193	-0.00049	0.00065	0.00000	-0.00001	0.00000	-0.57607	-0.06690	0.90958
469	0.00007	-0.00017	0.00012	0.00334	-0.00802	0.00603	-0.06779	0.08010	0.16126	0.00648	0.00667	0.00444	0.00673	0.00046	0.00494	0.00067	-0.00031	0.00094	0.00013	0.00099	0.00927	-0.00423	0.00709	0.00322	-0.00246	0.00104	0.00080	0.00186	-0.00028	0.00382	-0.02285	-0.04368	-0.02440	0.00536	0.00561	-0.00617	-0.00091	0.00036	0.00039	-0.00091	0.00036	0.00039	-0.00001	-0.00001	0.00000	0.10154	-0.03812	0.03661	-0.01660	0.00128	0.00452	-0.00235	-0.00068	0.00125	-0.00235	-0.00068	0.00125	0.00001	-0.00002	0.00001	-0.38662	-0.30321	0.85574
470	0.00013	-0.00015	0.00001	0.00651	-0.00635	0.00069	-0.10015	0.04374	0.15036	0.00779	0.00796	0.00408	0.00781	0.00008	0.00409	0.00121	-0.00038	0.00136	0.00261	0.00085	0.00958	-0.00629	0.00860	0.00460	-0.00211	0.00087	0.00001	0.00018	-0.00305	0.00624	-0.01115	-0.03386	-0.03098	0.00214	0.00372	-0.00593	-0.00058	0.00038	0.00054	-0.00058	0.00038	0.00054	-0.00001	-0.00001	0.00000	0.12970	-0.03753	0.03238	-0.01872	0.00100	0.00351	-0.00196	-0.00042	0.00137	-0.00196	-0.00042	0.00137	0.00001	-0.00001	0.00001	-0.14942	-0.37891	0.86536
471	0.00020	-0.00014	-0.00007	0.00992	-0.00578	-0.00269	-0.19745	0.01609	0.13814	0.00923	0.00667	0.00411	0.00888	-0.00014	0.00407	0.00140	-0.00045	0.00183	0.00081	0.00274	0.00855	-0.00673	0.00711	0.00661	-0.00133	0.00068	0.00061	-0.00331	-0.00659	0.00597	0.00641	-0.02211	-0.01593	-0.00076	0.00216	-0.00273	0.00002	-0.00004	0.00054	0.00002	-0.00004	0.00054	-0.00000	0.00000	0.00000	0.16897	-0.01451	0.02486	-0.02206	-0.00123	0.00064	-0.00095	-0.00014	0.00122	-0.00095	-0.00014	0.00122	0.00000	-0.00001	0.00000	0.01880	-0.21503	0.92964
472	0.00025	-0.00013	-0.00008	0.01232	-0.00558	-0.00325	-0.31253	0.01847	0.14171	0.00951	0.00333	0.00461	0.00925	-0.00007	0.00529	0.00112	-0.00045	0.00258	-0.00359	0.00492	0.00705	-0.00612	0.00418	0.00762	-0.00051	0.00081	0.00161	-0.00453	-0.00959	0.00275	0.01900	-0.01279	0.00799	-0.00167	0.00197	0.00103	0.00033	-0.00045	0.00030	0.00033	-0.00045	0.00030	0.00000	0.00001	0.00000	0.19545	0.01384	0.02919	-0.02582	-0.00491	-0.00102	-0.00025	0.00006	0.00101	-0.00025	0.00006	0.00101	-0.00001	0.00000	0.00000	0.03098	0.03890	1.01700
473	0.00025	-0.00015	-0.00005	0.01212	-0.00629	-0.00195	-0.37684	0.03531	0.17452	0.00849	0.00043	0.00595	0.00856	0.00020	0.00783	0.00114	-0.00034	0.00318	-0.00715	0.00649	0.00623	-0.00546	0.00232	0.00770	-0.00013	0.00089	0.00214	-0.00502	-0.00955	0.00017	0.01779	-0.01305	0.01775	-0.00073	0.00413	0.00184	0.00029	-0.00069	-0.00033	0.00029	-0.00069	-0.00033	-0.00000	0.00001	-0.00000	0.20614	0.02520	0.04550	-0.02931	-0.00921	-0.00025	-0.00020	0.00053	0.00058	-0.00020	0.00053	0.00058	-0.00001	0.00001	0.00000	-0.12438	0.15139	1.12308
474	0.00018	-0.00019	-0.00001	0.00902	-0.00802	0.00024	-0.34543	0.04300	0.22742	0.00716	0.00042	0.00817	0.00751	0.00070	0.01113	0.00199	-0.00009	0.00293	-0.00692	0.00695	0.00666	-0.00494	0.00268	0.00773	-0.00052	0.00051	0.00235	-0.00653	-0.00666	0.00139	0.00414	-0.02498	0.00972	0.00098	0.00813	-0.00053	0.00019	-0.00075	-0.00133	0.00019	-0.00075	-0.00133	-0.00000	0.00001	-0.00000	0.20927	0.01708	0.05727	-0.03114	-0.01151	0.00128	-0.00050	0.00106	0.00006	-0.00050	0.00106	0.00006	-0.00001	0.00002	-0.00000	-0.37073	0.02937	1.25172
475	0.00010	-0.00021	0.00003	0.00481	-0.00922	0.00203	-0.23198	0.05330	0.28031	0.00647	0.00315	0.01045	0.00721	0.00124	0.01395	0.00274	0.00005	0.00179	-0.00306	0.00611	0.00785	-0.00477	0.00449	0.00814	-0.00140	-0.00005	0.00260	-0.00628	-0.00360	0.00539	-0.01102	-0.04324	-0.00371	0.00185	0.01154	-0.00350	0.00006	-0.00036	-0.00218	0.00006	-0.00036	-0.00218	-0.00000	0.00001	-0.00001	0.19987	-0.00232	0.05420	-0.02956	-0.00914	0.00230	-0.00105	0.00103	0.00023	-0.00105	0.00103	0.00023	0.00000	0.00001	0.00000	-0.57477	-0.20811	1.38375
476	0.00006	-0.00022	0.00002	0.00337	-0.00944	0.00192	-0.10462	0.09485	0.33655	0.00647	0.00554	0.01151	0.00764	0.00134	0.01504	0.00227	-0.00021	0.00048	0.00082	0.00517	0.00865	-0.00564	0.00593	0.00949	-0.00177	-0.00026	0.00284	-0.00237	-0.00188	0.00935	-0.01898	-0.06119	-0.01178	0.00086	0.01264	-0.00492	-0.00022	0.00047	-0.00225	-0.00022	0.00047	-0.00225	-0.00000	-0.00000	-0.00001	0.16787	-0.02994	0.03973	-0.02468	-0.00311	0.00307	-0.00178	0.00037	0.00166	-0.00178	0.00037	0.00166	0.00000	0.00000	0.00001	-0.66544	-0.41065	1.51495
