	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
7	-3.61444	-2.18280	-15.53089	-1.45574	5.00709	-86.05861	0.38034	-3.28503	-15.34026	-1.21538	1.51750	-86.07230	0.38034	-3.28503	-15.34026	-1.21538	1.51750	-86.07230	8.70077	-0.88181	-31.14279	-9.74301	12.60271	-61.18922	15.24339	-4.15782	-30.89072	-5.18627	2.29782	-61.68916	-7.56315	6.90595	-43.27929	0.59161	4.85009	-36.26987	10.31400	-3.00912	-23.31887	-9.89918	5.69995	-22.83790	6.01739	20.70020	-31.86337	3.43660	-10.41493	-4.06570	31.60457	3.08146	-105.18568	40.73907	-10.75643	72.95427	38.00519	7.01541	-105.99815	37.70820	-8.73832	72.46948
8	-3.65590	-2.29690	-15.63644	-1.07792	5.13675	-86.07198	0.44320	-3.43538	-15.43137	-0.82063	1.38807	-86.08662	0.44320	-3.43538	-15.43137	-0.82063	1.38807	-86.08662	8.72801	-0.86056	-31.26824	-9.71498	12.60265	-61.18963	15.23597	-4.17858	-31.01530	-5.25084	2.27530	-61.66766	-7.59016	6.90174	-43.26260	0.58172	4.80904	-36.35876	10.48667	-3.06870	-23.37891	-9.71568	5.66475	-22.91513	5.87232	20.75010	-32.15950	3.24203	-10.45751	-4.35301	31.17935	3.15016	-105.58035	40.51777	-10.96153	72.38744	38.24032	7.21232	-106.51004	37.41482	-8.87287	71.88371
9	-3.66522	-2.43478	-15.69646	-0.81658	5.28724	-86.01514	0.48012	-3.59013	-15.47850	-0.54275	1.35435	-86.03101	0.48012	-3.59013	-15.47850	-0.54275	1.35434	-86.03101	8.77220	-0.85123	-31.56214	-9.69746	12.59325	-61.16821	15.19391	-4.17442	-31.31262	-5.29943	2.26296	-61.63072	-7.59810	6.86552	-43.27715	0.59459	4.76616	-36.37550	10.58406	-3.10678	-23.36783	-9.61861	5.62519	-22.91790	5.72139	20.82347	-32.48890	3.02647	-10.56702	-4.59709	30.83090	3.16237	-106.30814	40.22218	-11.19819	72.88160	38.08337	7.18766	-107.26393	36.82547	-9.51455	72.29079
10	-3.64983	-2.44165	-15.70328	-0.66758	5.52552	-85.92765	0.50013	-3.59878	-15.48452	-0.37740	1.44750	-85.94530	0.50013	-3.59878	-15.48452	-0.37740	1.44750	-85.94530	8.82419	-0.88143	-31.91107	-9.71721	12.57948	-61.06564	15.14401	-4.13885	-31.66854	-5.28518	2.25682	-61.53308	-7.60314	6.85439	-43.32966	0.59805	4.72838	-36.33110	10.58262	-3.09224	-23.36518	-9.62093	5.63793	-22.91037	5.64186	20.87494	-32.84286	2.79894	-10.66707	-4.90615	30.58387	3.11746	-106.70808	39.83171	-11.47180	73.44508	37.54988	6.92879	-107.59363	36.29323	-10.38986	72.77750
11	-3.76174	-2.39922	-15.66621	-0.60802	5.86973	-85.87415	0.48533	-3.58042	-15.44458	-0.29770	1.56524	-85.89428	0.48533	-3.58042	-15.44458	-0.29770	1.56524	-85.89428	8.86163	-0.93868	-32.23752	-9.75615	12.58250	-60.81670	15.12721	-4.09930	-32.00169	-5.21450	2.23506	-61.30058	-7.61672	6.89882	-43.38937	0.58977	4.69842	-36.25281	10.51404	-3.01586	-23.46210	-9.67793	5.74302	-22.97515	5.61903	20.85987	-33.07601	2.54881	-10.68531	-5.37760	30.35091	3.12143	-106.62733	39.36525	-11.77768	73.16867	37.15531	6.44295	-107.44080	36.16209	-11.05498	72.52730
12	-4.00322	-2.48838	-15.61672	-0.59584	6.08991	-85.86297	0.42785	-3.71579	-15.37679	-0.27299	1.62354	-85.88470	0.42785	-3.71579	-15.37679	-0.27299	1.62354	-85.88470	8.88401	-0.97841	-32.45720	-9.77834	12.59747	-60.50513	15.14248	-4.08507	-32.22435	-5.13929	2.19076	-60.99915	-7.61085	6.95450	-43.45059	0.58249	4.68226	-36.19333	10.38672	-2.88383	-23.65918	-9.78087	5.93485	-23.11506	5.59552	20.78984	-33.11755	2.28890	-10.66288	-6.00698	30.06486	3.23604	-106.45634	38.84531	-12.13797	72.25726	37.22956	5.94578	-107.27248	36.47614	-11.23002	71.77319
13	-4.07479	-2.69816	-15.64054	-0.58751	5.86895	-85.84959	0.37764	-3.93249	-15.38291	-0.28121	1.64581	-85.86968	0.37764	-3.93249	-15.38291	-0.28121	1.64581	-85.86968	8.91583	-0.97855	-32.45906	-9.75977	12.57957	-60.32067	15.16305	-4.08457	-32.22638	-5.10733	2.17241	-60.81237	-7.55931	6.95590	-43.52163	0.56778	4.68473	-36.21970	10.15657	-2.72796	-23.83525	-9.99062	6.14177	-23.22706	5.56239	20.72065	-33.11885	2.04339	-10.67788	-6.74171	29.74840	3.39296	-106.55077	38.30421	-12.58058	71.72993	37.42460	5.74280	-107.42097	36.79433	-11.21613	71.42461
14	-3.74627	-2.83918	-15.82430	-0.59224	5.21269	-85.80131	0.41791	-4.00811	-15.57550	-0.33308	1.68177	-85.81690	0.41791	-4.00811	-15.57550	-0.33308	1.68177	-85.81690	8.96671	-0.97056	-32.26067	-9.70399	12.49938	-60.32655	15.17813	-4.04670	-32.03055	-5.11588	2.24435	-60.81287	-7.47927	6.90421	-43.57943	0.52648	4.70339	-36.37052	9.80039	-2.58513	-23.88538	-10.34471	6.29311	-23.22486	5.54317	20.68820	-33.25631	1.81608	-10.72761	-7.50619	29.45368	3.49585	-106.87040	37.81260	-13.06366	72.19949	37.15992	5.83993	-107.76092	36.41167	-11.67872	71.90409
15	-3.26052	-2.83470	-16.13597	-0.64404	4.57531	-85.74222	0.57935	-3.93591	-15.90913	-0.43075	1.71037	-85.75392	0.57935	-3.93591	-15.90913	-0.43075	1.71037	-85.75392	9.01746	-0.99426	-32.11317	-9.64249	12.39445	-60.35864	15.19084	-3.94538	-31.89212	-5.11829	2.39323	-60.84790	-7.40296	6.85187	-43.59970	0.47109	4.72649	-36.61764	9.38901	-2.47008	-23.85742	-10.76464	6.39149	-23.15860	5.51621	20.67845	-33.46213	1.59358	-10.76961	-8.14004	29.20349	3.53853	-107.08968	37.45313	-13.46529	73.17864	36.34465	5.95951	-107.91961	35.14727	-12.86948	72.63341
16	-3.02435	-2.76297	-16.42937	-0.73118	4.37757	-85.74260	0.79046	-3.87841	-16.20831	-0.53100	1.68870	-85.75320	0.79046	-3.87841	-16.20831	-0.53100	1.68869	-85.75320	9.04717	-1.03928	-32.19976	-9.60051	12.33460	-60.29403	15.19885	-3.82727	-31.99086	-5.08216	2.52466	-60.79430	-7.34437	6.82749	-43.60820	0.45039	4.74053	-36.88196	9.05877	-2.37370	-23.87114	-11.09660	6.48670	-23.13813	5.42320	20.65320	-33.48644	1.36556	-10.81077	-8.44804	29.00075	3.58752	-107.01721	37.26795	-13.67656	73.62776	35.37168	5.92426	-107.74246	33.60158	-14.23933	72.68292
